metricId,dimension_id,queryable
debt_ebitda,metric_time,y
debt_to_equity,metric_time,y
domain_authority,metric_time,y
dpo,metric_time,y
dpo,vendor,n
dso,metric_time,y
dso,segment,n
earned_media_value,metric_time,y
ebitda_margin,company,y
ebitda_margin,metric_time,y
effective_tax_rate,company,y
effective_tax_rate,metric_time,y
effective_tax_rate,jurisdiction,y
enrollment_count,school,y
enrollment_count,grade_level,y
enrollment_count,demographic_group,y
enrollment_count,metric_time,y
enrollment_count,school_year,y
error_rate,endpoint,y
error_rate,error_type,y
error_rate,platform,y
error_rate,metric_time,y
ev_ebitda,metric_time,y
expansion_pipeline,metric_time,y
expansion_pipeline,cs_rep,y
fcr_rate,metric_time,y
fcr_rate,channel,y
first_response_time,priority,y
first_response_time,channel,y
first_response_time,team,y
first_response_time,metric_time,y
fleet_utilization_rate,vehicle,y
fleet_utilization_rate,fleet_type,y
fleet_utilization_rate,region,y
fleet_utilization_rate,metric_time,y
forecast_accuracy,metric_time,y
forecast_accuracy,segment,y
form_conversion_rate,metric_time,y
form_conversion_rate,form_name,y
form_conversion_rate,page,y
free_to_paid_rate,metric_time,y
free_to_paid_rate,cohort,y
gender_pay_gap,metric_time,y
gender_pay_gap,department,y
gender_pay_gap,job_level,y
gmv,category,y
gmv,channel,y
gmv,seller,y
gmv,metric_time,y
gross_margin_pct,metric_time,y
gross_margin_pct,product_line,y
gross_margin_pct,company,y
gross_margin_pct,segment,n
gross_margin_pct,channel,n
gross_profit,metric_time,y
gross_profit,product_line,y
gross_profit_per_employee,metric_time,y
instructional_spend_ratio,school_year,y
interest_coverage_ratio,company,y
interest_coverage_ratio,metric_time,y
internal_promotion_rate,department,y
internal_promotion_rate,job_level,y
internal_promotion_rate,metric_time,y
interview_to_offer_rate,metric_time,y
interview_to_offer_rate,department,y
leverage_ratio,metric_time,y
liquidity_rate,metric_time,y
liquidity_rate,category,y
magic_number,metric_time,y
manager_effectiveness_score,manager,y
manager_effectiveness_score,department,y
manager_effectiveness_score,survey_cycle,y
market_share,metric_time,y
market_share,region,y
marketing_influenced_pipeline,channel,y
marketing_influenced_pipeline,campaign,y
marketing_influenced_pipeline,segment,y
marketing_influenced_pipeline,metric_time,y
marketing_spend,channel,y
marketing_spend,campaign,y
marketing_spend,metric_time,y
mtbf,system,y
mtbf,facility,y
mtbf,metric_time,y
mttd,metric_time,y
mttr,metric_time,y
net_debt,metric_time,y
net_income,company,y
net_income,metric_time,y
net_income_margin,company,y
net_income_margin,metric_time,y
net_new_customers,metric_time,y
net_new_customers,channel,y
new_user_signups,acquisition_channel,y
new_user_signups,plan_tier,y
new_user_signups,geography,y
new_user_signups,metric_time,y
new_user_signups,channel,y
offer_acceptance_rate,metric_time,y
offer_acceptance_rate,department,y
operating_cash_flow,metric_time,y
opex,metric_time,y
opex,department,y
order_accuracy_rate,warehouse,y
order_accuracy_rate,carrier,y
order_accuracy_rate,metric_time,y
paid_attribution_pct,metric_time,y
paid_attribution_pct,channel,y
paid_sessions,channel,y
paid_sessions,campaign,y
paid_sessions,metric_time,y
per_pupil_expenditure,school,y
per_pupil_expenditure,metric_time,y
per_pupil_expenditure,function_code,n
per_pupil_expenditure,fund,n
